OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
134705248,350,Spring St & Second Ave,32050,38.997653,-77.034499,YES,NO,,,NO,6,9,397011.52018405,147746.23200566,
134705249,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,,,NO,9,10,396371.80070351,138310.16380231,
134705250,352,S Joyce & 16th St S,31091,38.859254,-77.063275,YES,NO,,,NO,7,8,394508.14728183,132384.08827775,
134705251,353,Union Market/6th St & Neal Pl NE,31517,38.908008,-76.996985,YES,NO,,,NO,9,14,400261.5033925,137794.25863345,
134705252,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,,,NO,5,10,390929.4393853,136517.08391716,
134705253,355,21st St N & N Pierce St,31093,38.898984,-77.078317,YES,NO,,,NO,6,9,393206.38482175,136795.43149257,
134705254,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,,,NO,12,3,391574.02398088,136396.59421225,
134705255,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,,,NO,19,3,396254.14318763,136729.90672594,
134705256,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,,,NO,8,7,388969.49519692,134307.40677263,
134705257,364,Army Navy Dr & S Nash St,31095,38.862467,-77.068242,YES,NO,,,NO,6,5,394077.31113834,132741.06505583,
134705258,367,11th & S St NW,31280,38.913761,-77.027025,YES,NO,,,NO,1,22,397656.19931508,138433.23161638,
134705259,368,S Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,YES,NO,,,NO,11,4,392374.19768093,133148.03121274,
134705260,369,2nd & G St NE,31639,38.89967,-77.003666,YES,NO,,,NO,21,2,399681.99552091,136868.67522408,
134705261,370,8th & O St NW,31281,38.90864,-77.02277,YES,NO,,,NO,0,19,398025.08145063,137864.65778749,
134705262,371,Georgia & Missouri Ave NW,31411,38.961339,-77.027855,YES,NO,,,NO,5,13,397585.82737487,143714.82919728,
134705263,373,Oklahoma Ave & D St NE,31712,38.894474,-76.974828,YES,NO,,,NO,10,8,402183.685683,136292.1725555,
